GPU Name,GPU Price
Refurbished PNY GeForce RTX 3060 Verto Dual 8GB GDDR6 VCG30608DFBPB1 Video Graphic Card GPU,249
Refurbished ASUS GeForce RTX 3060 OC 8GB GDDR6 DUAL-RTX3060-O8G Video Graphic Card GPU,249
Refurbished RTX 3060 Ventus 2X OC 12GB GDDR6 RTX 3060 VENTUS 2X 12G OC Video Graphic Card GPU,279
GIGABYTE WINDFORCE OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060WF2OC-12GD REV2.0,279
PNY VERTO GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card VCG306012DFBPB1,279
Refurbished PNY GeForce RTX 3060 Verto Dual Fan 12GB GDDR6 RGMR3060N4JCET2KTM Video Graphic Card GPU,279
Peladn Gaming RTX 3060 12G Graphics Card GDDR6 PCI Express 4.0 Video Card Dual-fan Edition,290
Refurbished PNY GeForce RTX 3060 Verto Dual 12GB GDDR6 ?VCG306012DFBPB Video Graphic Card GPU,299
ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card DUAL-RTX3060-O12G-V2,299
SOYO New Gaming Graphics Cards NVIDIA GeForce RTX 3060 12GB GDDR6 192 Bit Desktop GPU Video Card For PC,312
PNY VERTO GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card VCG3060T8LDFBPB1,319
Refurbished Gigabyte RTX 3060 Ti Windforce OC 8GB GDDR6 GV-N306TWF2OC-8GD Video Graphic Card GPU,329
"ASUS Dual NVIDIA GeForce RTX 3060 V2 OC Edition 12GB GDDR6 Gaming Graphics Card (PCIe 4.0, 12GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, 2-Slot, Axial-tech Fan Design, 0dB Technology)",327
GIGABYTE Wind Devil GeForce RTX 3060 WindForce OC 12G E-sports Game Design Intelligent Learning Computer Independent Graphics Card,343
GIGABYTE Gaming OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0) (LHR),350
"Refurbished EVGA GeForce RTX 3060 Ti FTW ULTRA GAMING Video Card, 08G-P5-3667-KL, 8GB GDDR6, iCX3 Cooling, ARGB LED, LHR",355
Refurbished EVGA GeForce RTX 3060 Ti XC Gaming 8GB GDDR6 08G-P5-3663-KR Video Graphic Card GPU,355
"ZOTAC GeForce RTX 3060-12GD6  12GB Graphics Card, GDDR6 192-bit PCI Express 4.0  Video Card",359
MSI GeForce RTX 3060 VENTUS 2X 12G OC NVIDIA 12GB GDDR6 Graphics Card,374
Refurbished ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060TI-O8G-V2-GAMING,389
"GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",399
GIGABYTE Gaming OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0) (LHR),399
MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 VENTUS 2X 12G,399
"GIGABYTE GeForce RTX 3060 EAGLE OC 12G Graphics Card, 2 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060EAGLE OC-12GD Video Card",399
Refurbished MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 3X 8G OC LHR,399
Refurbished MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3060 TI VENTUS 2X 8GD6X OC,399
Refurbished MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti VENTUS 2X 8G OCV1 LHR,399
Inno3D AX New White RTX 3060 X2W 12GB Graphics Card GDDR6 192bit 8Pin 8NM NVIDIA GPU Video Cards,409
Asus Dual GeForce RTX 3060 V2 OC Edition NVIDIA 12GB GDDR6 Graphics Card,429
"Used - Like New GIGABYTE AORUS GeForce RTX 3060 Ti MASTER 8GB Video Card, GV-N306TAORUS M-8GD",444
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC),447
Gigabyte GeForce Eagle OC NVIDIA RTX 3060 12GB GDDR6 Graphics Card,480
"EVGA GeForce RTX 3060 XC BLACK GAMING, 12G-P5-3655-KR, 12GB GDDR6, Dual-Fan",489
"EVGA GeForce RTX 3060 XC GAMING, 12G-P5-3657-KR, 12GB GDDR6, Dual-Fan, Metal Backplate",489
MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti Gaming X 8G LHR,580
"EVGA GeForce RTX 3060 Ti XC GAMING Video Card, 08G-P5-3663-KL, 8GB GDDR6, Metal Backplate, LHR",580
